aX,aY,aZ,gX,gY,gZ
0.118,-1.001,0.047,0.061,-0.183,2.930
0.126,-1.004,0.039,-0.366,-1.099,2.808
0.128,-1.007,0.036,0.183,-0.916,2.625
0.127,-1.008,0.041,0.671,-0.244,1.648
0.125,-0.999,0.045,1.526,0.488,1.404
0.123,-0.998,0.045,2.441,0.732,1.648
0.128,-1.001,0.042,2.808,0.916,1.953
0.126,-1.001,0.036,2.930,1.282,2.197
0.127,-0.998,0.033,2.991,1.526,2.319
0.126,-1.001,0.039,2.686,2.075,2.563
0.119,-1.001,0.043,1.831,2.502,2.625
0.120,-1.000,0.045,0.916,1.465,2.747
0.125,-1.000,0.043,0.427,0.183,2.869
0.125,-1.006,0.034,0.305,-0.854,3.052
0.137,-1.008,0.033,0.305,-0.854,2.808
0.117,-1.000,0.040,0.183,-0.610,2.808
0.124,-1.001,0.036,0.671,0.549,2.441
0.127,-1.005,0.040,1.038,1.160,2.258
0.128,-1.002,0.041,1.099,2.136,1.892

0.507,-2.437,-0.231,104.736,53.223,58.594
0.518,-2.621,-0.333,97.473,50.720,41.748
0.507,-2.703,-0.357,69.214,47.424,28.748
0.474,-2.788,-0.391,10.620,35.034,16.479
0.505,-2.821,-0.354,-38.940,29.236,1.160
0.538,-2.817,-0.236,-64.026,31.921,-13.123
0.540,-2.741,-0.104,-78.247,36.377,-24.231
0.515,-2.608,0.004,-84.595,40.283,-33.264
0.484,-2.451,0.088,-85.205,40.649,-41.260
0.441,-2.252,0.110,-83.496,35.034,-47.974
0.403,-2.066,0.086,-79.773,26.794,-53.284
0.374,-1.896,0.025,-72.632,20.325,-56.030
0.353,-1.718,-0.022,-64.209,16.418,-54.321
0.360,-1.614,-0.044,-55.969,14.038,-46.814
0.368,-1.512,-0.079,-49.438,14.832,-34.668
0.361,-1.417,-0.109,-43.213,14.526,-22.095
0.367,-1.341,-0.152,-37.842,13.245,-11.536
0.371,-1.293,-0.205,-33.447,12.939,-5.066
0.357,-1.275,-0.270,-30.884,12.085,-3.113
0.363,-1.250,-0.303,-27.466,14.893,-7.141
0.452,-1.205,-0.277,-23.499,25.269,-15.320
0.503,-1.158,-0.240,-23.560,36.316,-23.254
0.428,-1.084,-0.189,-31.311,34.363,-31.128
0.359,-0.984,-0.147,-47.424,22.156,-41.260
0.275,-0.861,-0.100,-67.078,7.446,-53.772
0.158,-0.722,-0.029,-83.923,-2.563,-67.200
0.070,-0.560,0.076,-95.093,-5.615,-72.144
0.068,-0.327,0.242,-105.530,-14.832,-54.565
0.180,-0.294,0.213,-103.760,-21.851,-46.753
0.245,-0.254,0.166,-89.417,-28.259,-43.457
0.261,-0.239,0.120,-63.538,-34.912,-44.556
0.192,-0.243,0.078,-39.001,-42.847,-47.119
0.155,-0.224,0.059,-25.391,-52.246,-48.218
0.170,-0.246,0.075,-25.085,-64.514,-47.241
0.212,-0.274,0.046,-35.095,-79.468,-46.753
0.308,-0.255,-0.030,-43.640,-91.980,-48.828
0.344,-0.247,-0.107,-39.795,-98.206,-52.917
0.333,-0.218,-0.177,-27.222,-95.093,-57.800
0.256,-0.176,-0.195,-10.010,-85.693,-63.110
0.174,-0.185,-0.155,10.193,-73.425,-69.153
0.117,-0.194,-0.108,24.902,-59.998,-73.792
0.097,-0.163,-0.076,30.396,-47.607,-77.576
0.083,-0.151,-0.097,31.860,-38.452,-80.811
0.050,-0.144,-0.154,35.767,-33.020,-84.900
0.007,-0.126,-0.207,44.556,-26.978,-90.332
-0.098,-0.110,-0.229,56.213,-16.968,-95.642
-0.230,-0.085,-0.183,63.965,-3.967,-99.060
-0.329,-0.023,-0.085,60.059,11.169,-95.581
-0.401,0.006,-0.019,47.852,22.095,-84.656
-0.457,-0.008,-0.005,35.278,26.489,-71.838
-0.482,-0.018,0.011,26.367,27.588,-60.791
-0.488,-0.034,0.039,19.104,26.245,-52.124
-0.512,-0.054,0.036,10.254,21.057,-45.654
-0.524,-0.055,0.015,1.709,13.184,-39.734
-0.546,-0.049,0.008,-3.540,7.629,-32.349
-0.567,-0.063,0.006,-6.104,6.409,-22.278
-0.567,-0.079,0.010,-10.254,8.484,-11.780
-0.572,-0.095,0.040,-15.930,12.878,-1.892
-0.560,-0.110,0.110,-22.095,19.714,8.667
-0.550,-0.141,0.180,-28.931,25.513,18.799
-0.539,-0.168,0.231,-32.959,28.076,26.062
-0.512,-0.195,0.247,-31.555,28.809,30.823
-0.487,-0.205,0.233,-28.564,27.710,34.302
-0.427,-0.221,0.210,-25.208,25.208,38.452
-0.365,-0.254,0.180,-22.583,21.423,44.189
-0.309,-0.285,0.112,-20.630,18.250,49.438
-0.260,-0.310,0.055,-16.235,19.409,50.964
-0.224,-0.312,0.022,-11.475,24.902,50.232
-0.237,-0.340,0.039,-8.240,34.119,48.096
-0.318,-0.396,0.147,-9.033,46.753,45.227
-0.321,-0.401,0.311,-19.409,56.091,43.518
-0.277,-0.372,0.442,-35.522,54.382,44.617
-0.210,-0.385,0.496,-50.903,40.222,47.241
-0.113,-0.458,0.496,-62.134,16.052,48.279
-0.016,-0.483,0.381,-69.397,-8.118,44.434
0.001,-0.463,0.248,-57.983,-16.663,33.936
-0.011,-0.412,0.166,-19.348,-5.676,22.156
-0.062,-0.364,0.142,28.564,16.602,14.587
-0.145,-0.337,0.140,68.604,43.335,13.245
-0.182,-0.300,0.111,90.149,64.453,17.090
-0.211,-0.299,0.077,93.506,71.960,22.339
-0.146,-0.354,0.041,81.177,66.040,29.541
0.002,-0.434,0.055,53.772,49.072,36.865
0.080,-0.528,0.027,15.930,25.024,38.086
0.098,-0.562,-0.019,-20.386,2.502,33.264
0.023,-0.563,0.025,-41.992,-7.263,26.733
-0.084,-0.539,0.104,-39.917,0.305,21.057
-0.153,-0.483,0.142,-11.536,17.212,20.996
-0.106,-0.455,0.190,28.931,29.114,27.283
-0.030,-0.501,0.245,55.420,34.485,35.583
0.046,-0.584,0.241,59.509,33.875,41.504
0.157,-0.668,0.226,48.157,20.142,41.565
0.161,-0.756,0.208,23.437,-2.930,38.635
0.009,-0.870,0.182,-9.277,-24.902,34.851
-0.075,-0.907,0.139,-34.973,-39.185,32.166
-0.074,-0.932,0.126,-44.373,-48.035,29.785
-0.067,-0.931,0.155,-40.894,-51.270,27.954
-0.063,-0.927,0.193,-31.311,-48.462,27.039
-0.057,-0.909,0.193,-24.231,-44.189,28.381
-0.032,-0.984,0.217,-26.184,-45.349,34.668
0.069,-1.111,0.286,-42.664,-51.697,44.250
0.240,-1.240,0.442,-60.120,-50.903,52.063
0.306,-1.361,0.568,-56.885,-38.147,54.382
0.243,-1.398,0.578,-24.292,-22.095,52.490
0.178,-1.402,0.472,34.485,-10.071,48.035
0.167,-1.410,0.320,87.280,-9.827,44.922
0.106,-1.500,0.154,109.741,-13.611,47.119
0.101,-1.700,0.049,97.900,-18.860,52.612
0.196,-1.806,0.107,61.768,-21.484,54.993
0.385,-1.896,0.288,27.466,-13.794,53.955
0.461,-1.933,0.530,4.456,-13.245,47.607
0.405,-1.891,0.683,-3.479,-25.635,37.231
0.262,-1.773,0.604,17.029,-35.278,23.254
0.117,-1.661,0.363,55.908,-39.185,12.451
0.002,-1.571,0.052,83.252,-38.757,12.390
-0.054,-1.593,-0.130,91.431,-32.349,22.644
0.036,-1.696,-0.130,86.182,-23.682,35.889
-0.023,-1.718,-0.042,63.354,-12.390,50.232
0.135,-1.818,0.115,37.537,-4.639,44.617

0.526,-3.999,0.678,-97.351,0.427,127.258
0.221,-1.381,0.271,-259.888,-27.344,32.227
0.128,-0.565,-0.017,-133.057,3.174,-94.910
-0.057,-0.397,0.336,87.341,45.471,-99.854
-0.273,-0.215,0.533,139.709,55.542,-46.570
-0.235,-0.312,0.443,103.271,45.410,-6.958
-0.129,-0.484,0.228,57.922,20.508,19.348
-0.005,-0.644,0.152,10.498,-14.160,43.884
0.122,-0.937,0.141,-24.597,-38.330,60.120
0.581,-1.741,-0.095,-36.560,-39.795,65.063
0.430,-1.569,-0.023,-9.277,-28.320,65.552
0.262,-1.261,0.008,10.315,-9.766,27.893
0.176,-0.951,-0.007,19.348,17.090,-9.277
0.073,-0.845,0.027,18.738,25.208,-14.709
0.080,-0.932,0.036,11.719,16.479,-0.122
0.144,-1.061,0.018,-1.038,7.324,10.437
0.185,-1.067,0.027,-9.766,4.089,9.521
0.184,-1.002,0.074,-13.428,6.714,3.906
0.169,-0.960,0.122,-12.573,10.803,0.305
0.131,-0.954,0.161,-9.583,14.038,-0.916
0.178,-0.974,0.144,-6.348,18.799,-2.625
0.167,-0.989,0.172,-4.028,19.836,-2.808
0.120,-0.979,0.162,-2.075,21.545,-1.953
0.097,-0.983,0.157,0.549,22.949,-1.587
0.089,-0.982,0.158,5.432,20.813,-1.282
0.101,-0.983,0.161,9.338,17.761,-0.549
0.125,-0.986,0.140,12.146,15.564,0.671
0.138,-0.997,0.118,15.198,13.855,2.319
0.140,-1.000,0.100,16.479,12.939,3.296
0.139,-1.006,0.086,15.808,11.108,3.357
0.141,-1.009,0.083,12.878,8.728,2.686
0.139,-1.009,0.074,8.423,6.409,1.770
0.141,-1.000,0.063,5.371,4.028,0.916
0.136,-0.993,0.069,3.967,2.686,1.038
0.137,-0.993,0.073,2.075,2.319,2.075
0.140,-0.989,0.085,0.305,0.549,2.808
0.151,-0.996,0.083,-0.977,-2.075,3.662
0.158,-0.998,0.076,-1.953,-3.174,4.089
0.148,-0.998,0.074,-2.136,-3.418,4.395
0.139,-1.000,0.076,-3.357,-4.089,4.089
0.140,-1.004,0.078,-5.737,-5.188,3.662
