aX,aY,aZ,gX,gY,gZ
0.021,-1.157,-0.236,15.808,2.075,0.183
-0.053,-1.105,-0.316,19.958,2.991,-1.770
-0.086,-1.056,-0.321,26.123,9.644,-6.042
-0.016,-1.004,-0.285,33.997,15.198,-10.803
0.132,-0.999,-0.239,43.823,16.968,-12.451
0.246,-1.083,-0.133,51.636,18.860,-8.545
0.327,-1.215,-0.034,52.124,21.362,-3.784
0.294,-1.290,0.058,47.668,18.738,-1.831
0.214,-1.286,0.070,36.133,13.306,-4.272
0.113,-1.229,0.007,18.311,12.573,-8.606
0.015,-1.135,-0.066,7.629,18.494,-12.451
-0.030,-1.056,-0.104,11.292,29.114,-16.296
-0.023,-1.023,-0.035,29.236,42.480,-20.203
0.047,-1.076,0.140,46.875,54.077,-18.738
0.090,-1.195,0.363,47.241,63.049,-11.414
0.145,-1.323,0.470,31.738,62.439,-5.310
0.094,-1.373,0.456,17.029,52.063,-4.456
-0.030,-1.340,0.383,15.320,46.021,-9.644
-0.126,-1.218,0.322,24.475,50.171,-17.639
-0.176,-1.147,0.369,35.156,56.458,-21.790
-0.193,-1.102,0.431,39.856,58.105,-26.184
-0.144,-1.099,0.474,40.710,54.504,-28.931
-0.093,-1.109,0.532,37.964,49.011,-26.306
-0.089,-1.134,0.564,27.832,42.114,-18.799
-0.086,-1.208,0.579,13.611,35.645,-13.367
-0.061,-1.280,0.600,5.920,26.367,-13.000
-0.056,-1.300,0.612,8.850,19.104,-17.639
-0.075,-1.264,0.647,14.221,12.573,-24.414
-0.074,-1.208,0.600,10.925,1.160,-31.921
-0.083,-1.115,0.439,1.648,-13.611,-37.048
-0.095,-1.040,0.265,-1.404,-25.146,-40.894
-0.093,-0.967,0.149,2.625,-28.442,-42.114
-0.075,-0.941,0.116,5.249,-25.635,-40.283
-0.068,-0.926,0.101,3.906,-18.982,-36.194
-0.076,-0.906,0.111,1.160,-10.193,-31.738
-0.087,-0.890,0.126,-0.183,-6.653,-27.588
-0.065,-0.887,0.118,-2.258,-8.301,-23.682
-0.088,-0.886,0.084,-5.554,-9.460,-19.226

0.673,-1.372,0.723,30.762,47.241,23.865
0.596,-1.229,0.737,-28.015,12.939,26.001
0.486,-1.110,0.615,-83.923,-30.640,36.926
0.388,-1.072,0.349,-113.953,-76.660,48.889
0.302,-1.136,0.083,-108.093,-112.244,56.335
0.191,-1.215,-0.136,-73.730,-129.578,57.861
0.117,-1.214,-0.311,-27.588,-127.197,54.199
0.157,-1.236,-0.430,15.625,-101.013,43.335
0.208,-1.231,-0.468,49.500,-66.162,35.461
0.319,-1.207,-0.429,69.580,-30.701,37.842
0.451,-1.307,-0.257,67.871,2.197,47.241
0.600,-1.495,-0.013,38.147,23.193,60.242
0.533,-1.541,0.134,-18.616,14.893,68.665
0.366,-1.530,0.051,-77.393,-23.132,72.327
0.225,-1.539,-0.203,-101.318,-78.247,65.857
0.138,-1.497,-0.484,-80.627,-135.986,40.100
0.054,-1.401,-0.719,-33.447,-179.016,2.319
0.024,-1.317,-0.873,14.465,-194.153,-31.250
-0.036,-1.184,-0.979,43.396,-185.425,-53.772
-0.137,-1.038,-1.004,49.988,-168.335,-65.247
-0.099,-0.937,-1.082,41.870,-141.724,-64.087
-0.060,-0.863,-1.050,30.945,-107.117,-51.636
