aX,aY,aZ,gX,gY,gZ
0.128,-0.506,-1.022,-49.011,103.027,-133.423
0.105,-0.456,-1.023,-64.636,106.384,-124.878
0.097,-0.406,-1.029,-78.918,105.774,-115.112
0.063,-0.377,-1.026,-86.853,106.995,-105.713
0.059,-0.353,-0.979,-87.402,111.572,-98.206
0.020,-0.317,-0.870,-82.886,116.089,-92.041
-0.021,-0.292,-0.775,-78.125,118.774,-88.684
0.057,-0.270,-0.642,-74.158,116.577,-85.510
0.031,-0.212,-0.563,-76.477,112.793,-75.745
-0.013,-0.196,-0.537,-83.679,107.910,-66.895
-0.034,-0.176,-0.524,-88.013,104.553,-60.852
-0.021,-0.161,-0.473,-85.266,102.783,-60.059
-0.048,-0.139,-0.418,-78.430,103.210,-58.655
-0.074,-0.134,-0.372,-72.571,103.882,-58.533
-0.097,-0.126,-0.296,-68.054,106.873,-58.289
-0.094,-0.097,-0.251,-67.993,110.352,-57.068
-0.086,-0.072,-0.221,-72.266,112.000,-53.650
-0.095,-0.049,-0.203,-77.820,112.061,-48.401
-0.117,-0.018,-0.184,-81.787,113.281,-42.786
-0.125,-0.008,-0.167,-78.247,115.723,-38.635
-0.120,0.003,-0.147,-66.650,118.713,-36.255
-0.105,-0.003,-0.102,-52.002,123.352,-33.081
-0.086,-0.026,-0.036,-40.710,129.089,-27.527
-0.071,-0.061,0.026,-35.767,133.118,-19.653
-0.047,-0.122,0.078,-37.781,134.583,-11.230
-0.034,-0.170,0.116,-43.518,133.423,-5.493
-0.038,-0.207,0.151,-47.729,130.798,-3.845
-0.037,-0.226,0.174,-48.035,129.089,-4.639
-0.033,-0.203,0.192,-44.983,129.700,-7.996
-0.009,-0.194,0.249,-37.354,132.568,-10.559
0.015,-0.208,0.351,-30.396,135.620,-7.751
0.025,-0.234,0.411,-29.053,135.376,-0.977
0.027,-0.278,0.440,-30.457,132.568,7.751
0.038,-0.315,0.431,-32.043,129.944,14.465
0.045,-0.337,0.417,-32.532,129.517,17.334
0.050,-0.337,0.443,-29.175,132.446,17.639
0.044,-0.307,0.487,-20.569,136.108,15.991
0.043,-0.247,0.522,-4.089,134.888,14.771
0.076,-0.246,0.557,14.404,129.150,19.409
0.107,-0.307,0.545,22.888,122.559,32.715
0.120,-0.388,0.516,18.433,116.882,48.218
0.140,-0.476,0.493,9.033,112.549,59.814
0.150,-0.530,0.468,0.732,110.168,64.392
0.159,-0.516,0.446,-1.892,112.122,61.890
0.156,-0.447,0.449,7.751,117.249,55.725
0.156,-0.307,0.453,32.654,122.742,50.232
0.196,-0.201,0.450,69.031,125.366,51.086
0.298,-0.261,0.491,97.168,124.512,64.514
0.369,-0.439,0.551,95.398,123.352,90.027
0.398,-0.613,0.613,63.232,123.657,113.647
0.425,-0.759,0.656,24.170,121.155,124.390
0.469,-0.805,0.685,-0.671,115.662,121.094
0.467,-0.740,0.714,-1.526,110.413,111.145
0.452,-0.621,0.753,22.095,106.995,101.257
0.514,-0.507,0.845,61.096,102.112,96.619
0.612,-0.599,0.966,97.229,91.919,104.065
0.647,-0.815,1.031,105.652,78.552,119.812
0.692,-1.055,1.037,84.656,64.880,130.737
0.681,-1.200,1.056,50.415,50.598,130.981
0.689,-1.211,1.098,26.611,38.818,117.310
0.682,-1.166,1.143,27.710,29.968,99.365
0.644,-1.056,1.098,52.063,19.043,81.848
0.651,-0.897,0.992,93.872,6.775,67.688
0.705,-0.849,0.902,137.390,-6.104,62.317
0.724,-0.984,0.821,162.537,-21.912,68.298
0.715,-1.183,0.737,155.762,-36.804,81.238
0.709,-1.354,0.614,124.146,-48.645,92.041
0.739,-1.472,0.500,85.815,-54.565,96.252
0.735,-1.543,0.442,58.594,-50.415,93.628
0.701,-1.543,0.451,51.208,-37.964,85.999
0.625,-1.477,0.462,64.209,-26.123,72.144
0.615,-1.366,0.425,88.867,-20.081,54.565
0.674,-1.297,0.345,114.441,-23.987,40.833
