aX,aY,aZ,gX,gY,gZ
-0.853,-0.030,0.135,-41.992,13.794,98.877
-0.853,-0.065,0.128,-36.621,13.000,100.891
-0.866,-0.094,0.128,-24.109,15.930,104.736
-0.867,-0.133,0.134,-8.606,19.470,109.924
-0.854,-0.172,0.133,7.446,22.400,114.746
-0.842,-0.196,0.139,20.447,24.170,118.225
-0.810,-0.235,0.146,25.818,24.109,118.896
-0.801,-0.253,0.143,16.846,21.362,116.516
-0.785,-0.258,0.148,-4.333,15.137,112.183
-0.772,-0.262,0.129,-30.945,7.446,107.727
-0.774,-0.258,0.104,-50.598,2.625,104.553
-0.757,-0.264,0.101,-50.842,3.601,104.126
-0.752,-0.260,0.115,-34.485,10.071,107.605
-0.754,-0.260,0.132,-9.888,17.944,114.014
-0.749,-0.259,0.144,11.597,23.010,120.605
-0.721,-0.276,0.162,24.292,24.353,126.099
-0.686,-0.311,0.178,24.597,23.132,128.723
-0.670,-0.342,0.170,8.850,19.287,127.014
-0.648,-0.344,0.163,-19.775,12.390,121.460
-0.644,-0.320,0.128,-52.795,6.042,114.868
-0.658,-0.299,0.089,-79.285,3.906,109.985
-0.661,-0.268,0.065,-86.548,7.996,111.755
-0.631,-0.262,0.078,-66.772,19.470,121.765
-0.604,-0.283,0.099,-27.649,35.522,136.475
-0.570,-0.314,0.111,14.954,51.086,150.574
-0.503,-0.378,0.144,49.011,61.707,160.767
-0.444,-0.445,0.203,64.575,65.063,163.879
-0.403,-0.500,0.233,56.030,57.922,159.302
-0.401,-0.502,0.233,24.536,42.664,150.513
-0.414,-0.495,0.200,-19.043,25.330,141.785
-0.424,-0.499,0.145,-54.321,13.367,138.672
-0.400,-0.517,0.130,-56.519,12.939,145.203
-0.344,-0.578,0.146,-20.752,24.170,157.959
-0.220,-0.694,0.177,34.119,39.612,172.302
-0.133,-0.879,0.198,86.060,47.791,185.486
-0.046,-1.090,0.219,105.530,47.485,191.956
-0.017,-1.241,0.205,84.656,38.452,184.753
0.003,-1.301,0.224,34.729,23.621,166.382
-0.051,-1.300,0.202,-22.278,10.254,146.667
-0.069,-1.252,0.223,-51.819,5.188,133.484
-0.058,-1.213,0.271,-36.987,7.507,127.075
-0.042,-1.185,0.293,1.282,13.245,125.610
0.006,-1.230,0.273,37.720,13.733,126.709
0.040,-1.294,0.216,53.406,9.094,127.930
0.044,-1.363,0.175,46.448,5.066,124.084

0.641,-4.000,1.739,-68.726,3.967,150.757
0.266,-3.467,-0.008,-283.813,13.000,149.292
-0.257,-1.465,-0.138,-264.221,-65.369,19.043
-0.124,-0.665,-0.255,-1.709,-41.809,-74.585
-0.113,-0.529,-0.015,171.692,38.330,-88.013
-0.349,-0.500,0.213,182.434,73.669,-47.302
-0.448,-0.511,0.362,115.845,61.829,-4.456
-0.326,-0.573,0.321,25.940,33.020,18.555
-0.231,-0.650,0.264,-43.823,11.292,31.128
-0.161,-0.790,0.285,-69.946,4.211,39.429
-0.074,-1.001,0.333,-66.528,1.953,38.208
-0.022,-1.223,0.384,-53.772,0.916,31.433
-0.026,-1.283,0.353,-45.410,0.854,22.766
-0.063,-1.190,0.288,-38.574,-0.488,11.719
